Order ID,Order Date,Customer Name,Region,State,Category,Product Name,Quantity,Sales,Profit,Discount,Year,Month
ORD00031,2024-08-06,Alexandra Rocha,South,Karnataka,Office Supplies,Pen,10,386.41,102.57,0.12,2024,August
ORD00032,2023-09-25,Jeanette Grimes,North,Haryana,Technology,Monitor,2,2125.16,416.36,0.16,2023,September
ORD00033,2023-03-16,Sarah Juarez,South,Tamil Nadu,Technology,Tablet,7,697.85,147.51,0.14,2023,March
ORD00034,2023-03-12,Clayton Johnston,North,Delhi,Technology,Printer,9,1105.11,128.52,0.28,2023,March
ORD00035,2024-10-31,Jennifer Woods,East,West Bengal,Technology,Tablet,8,4177.04,943.53,0.18,2024,October
ORD00036,2023-04-20,Daniel Patel,East,Bihar,Office Supplies,Pen,2,4697.7,392.6,0.03,2023,April
ORD00037,2024-10-11,Devon Dixon,South,Tamil Nadu,Office Supplies,Marker,5,3043.91,698.28,0.06,2024,October
ORD00038,2023-01-04,Gary Spears,West,Gujarat,Furniture,Table,1,506.88,79.02,0.08,2023,January
ORD00039,2023-03-19,Jay Mendoza,East,West Bengal,Furniture,Desk,8,2780.82,436.37,0.0,2023,March
ORD00040,2024-01-09,James Mcdaniel,North,Punjab,Office Supplies,Notebook,10,2785.0,438.49,0.01,2024,January
ORD00041,2024-02-21,Daniel Payne,South,Kerala,Technology,Tablet,4,3351.32,463.89,0.17,2024,February
ORD00042,2023-12-07,Kelly Serrano,South,Karnataka,Office Supplies,Notebook,3,4413.01,248.0,0.22,2023,December
ORD00043,2023-07-24,Mark Jones,East,West Bengal,Furniture,Desk,2,1943.58,116.0,0.14,2023,July
ORD00044,2023-03-13,Shannon Mcneil,East,West Bengal,Furniture,Sofa,4,167.14,16.43,0.1,2023,March
ORD00045,2023-09-25,Mary Schmidt,West,Rajasthan,Furniture,Sofa,9,1689.19,96.12,0.26,2023,September
ORD00046,2024-03-22,Kristine Walker,East,West Bengal,Technology,Monitor,2,3003.03,409.68,0.24,2024,March
ORD00047,2024-06-16,Mitchell Moreno,North,Punjab,Office Supplies,Marker,10,990.89,60.54,0.13,2024,June
ORD00048,2024-11-10,Brian Matthews,East,Odisha,Office Supplies,Notebook,2,4746.93,1330.06,0.19,2024,November
ORD00049,2023-07-16,Mark Lee,East,Bihar,Technology,Tablet,7,1664.61,373.38,0.17,2023,July
ORD00050,2023-10-21,Jamie Chapman,South,Kerala,Furniture,Bookcase,10,1539.7,287.9,0.0,2023,October
ORD00051,2023-06-23,Crystal Jensen,East,Odisha,Technology,Printer,8,2238.69,231.54,0.14,2023,June
ORD00052,2024-11-19,Alex Thomas,East,Bihar,Office Supplies,Pen,10,1709.18,435.17,0.23,2024,November
ORD00053,2023-03-16,Chloe Thomas,South,Karnataka,Furniture,Desk,1,278.76,82.51,0.18,2023,March
ORD00054,2023-01-06,Joshua Owens,South,Kerala,Furniture,Bookcase,7,2497.17,277.18,0.2,2023,January
ORD00055,2023-05-05,Robert Woods,South,Karnataka,Technology,Printer,9,2349.52,444.89,0.28,2023,May
ORD00056,2024-03-29,Robert Buck,West,Rajasthan,Furniture,Desk,9,4940.07,982.4,0.29,2024,March
ORD00057,2023-09-23,Anne White,West,Rajasthan,Office Supplies,Marker,8,4491.18,1059.53,0.14,2023,September
ORD00058,2023-10-06,Diana Daugherty,West,Rajasthan,Technology,Tablet,4,1409.26,97.76,0.09,2023,October
ORD00059,2023-03-07,Laura Russell,North,Delhi,Furniture,Sofa,3,1194.74,267.01,0.21,2023,March
ORD00060,2024-08-21,Diana Turner,East,Bihar,Furniture,Bookcase,8,2108.08,214.41,0.13,2024,August
ORD00061,2024-03-05,Dakota Walton,West,Gujarat,Office Supplies,Pen,1,4716.57,587.94,0.12,2024,March
ORD00062,2024-11-15,James Evans,South,Tamil Nadu,Office Supplies,Marker,4,1401.03,240.15,0.12,2024,November
ORD00063,2024-08-29,Stephanie Hunt,South,Tamil Nadu,Office Supplies,Paper,3,4904.57,900.14,0.27,2024,August
ORD00064,2024-01-24,Cindy Mills,North,Haryana,Office Supplies,Pen,7,721.71,119.39,0.02,2024,January
ORD00065,2024-03-07,Rebecca Shannon,West,Gujarat,Furniture,Desk,6,3818.09,552.79,0.23,2024,March
ORD00066,2023-03-12,Brandi Tyler,West,Maharashtra,Furniture,Chair,9,307.82,88.65,0.07,2023,March
ORD00067,2024-04-29,Andrew Johnson,North,Delhi,Office Supplies,Pen,4,4204.18,863.26,0.07,2024,April
ORD00068,2023-04-28,Marcus Orozco,South,Tamil Nadu,Office Supplies,Pen,5,3846.15,353.64,0.18,2023,April
ORD00069,2024-01-20,Rebecca Fisher,North,Haryana,Technology,Tablet,1,4647.99,901.47,0.27,2024,January
ORD00070,2024-09-06,Linda Montgomery,North,Haryana,Furniture,Desk,4,554.41,134.79,0.26,2024,September
ORD00071,2023-12-16,Carlos Ford,North,Punjab,Technology,Monitor,9,2170.47,309.6,0.15,2023,December
ORD00072,2024-12-25,Christopher Roberts,West,Maharashtra,Technology,Printer,7,4805.9,1003.93,0.25,2024,December
ORD00073,2024-07-05,Laura Cantrell,South,Kerala,Technology,Printer,9,4829.09,567.52,0.24,2024,July
ORD00074,2023-03-30,Kellie Walton,West,Rajasthan,Furniture,Bookcase,10,1378.56,362.46,0.25,2023,March
ORD00075,2023-11-29,Lauren Steele,South,Tamil Nadu,Furniture,Bookcase,10,3071.14,444.54,0.01,2023,November
ORD00076,2023-10-10,Bailey Day,South,Tamil Nadu,Technology,Printer,5,1734.68,468.5,0.21,2023,October
ORD00077,2024-12-08,Jerry Parker,South,Karnataka,Office Supplies,Pen,4,3614.37,622.19,0.23,2024,December
ORD00078,2024-11-10,Wesley Long,West,Maharashtra,Furniture,Bookcase,2,1506.47,227.63,0.07,2024,November
ORD00079,2023-12-27,Robert Craig,West,Rajasthan,Office Supplies,Stapler,9,1751.6,524.0,0.17,2023,December
ORD00080,2024-07-02,Rodney Waters,East,Odisha,Office Supplies,Paper,5,1191.16,274.35,0.09,2024,July
ORD00081,2024-09-03,Joseph Curry,South,Karnataka,Office Supplies,Notebook,8,1418.67,280.04,0.23,2024,September
ORD00082,2023-05-10,Daisy Lyons,South,Tamil Nadu,Furniture,Chair,4,1836.36,230.59,0.21,2023,May
ORD00083,2024-05-17,Joseph Clark,North,Haryana,Furniture,Chair,5,3502.22,285.68,0.26,2024,May
ORD00084,2024-05-04,Annette George,East,Odisha,Technology,Laptop,8,2230.32,214.31,0.02,2024,May
ORD00085,2024-07-30,Breanna Ramos,West,Gujarat,Technology,Laptop,2,2906.25,644.06,0.05,2024,July
ORD00086,2023-08-20,Terry Parker,South,Karnataka,Furniture,Chair,9,3834.0,772.86,0.24,2023,August
ORD00087,2024-09-27,Manuel Barker,West,Gujarat,Office Supplies,Paper,5,4307.82,1281.61,0.09,2024,September
ORD00088,2024-07-19,Jordan Lambert,North,Delhi,Technology,Monitor,4,1360.0,95.6,0.07,2024,July
ORD00089,2023-10-23,Jennifer Larson,North,Punjab,Technology,Smartphone,8,3462.39,579.87,0.01,2023,October
ORD00090,2024-11-08,Melissa Bates,West,Maharashtra,Office Supplies,Stapler,4,4623.36,1141.77,0.19,2024,November
ORD00091,2023-03-15,Jason Logan,North,Haryana,Technology,Printer,4,3255.79,902.19,0.25,2023,March
ORD00092,2023-11-08,Steven Hall,East,Bihar,Technology,Smartphone,10,4609.9,736.61,0.14,2023,November
ORD00093,2024-03-18,Mark Mitchell,East,Bihar,Office Supplies,Paper,9,2494.29,174.88,0.01,2024,March
ORD00094,2024-08-24,Samuel Lee,East,West Bengal,Office Supplies,Stapler,2,1183.18,258.61,0.26,2024,August
ORD00095,2024-08-22,Samantha Hicks,North,Delhi,Technology,Tablet,8,2618.87,420.48,0.08,2024,August
ORD00096,2023-06-14,Heather Velazquez,North,Punjab,Furniture,Bookcase,6,2071.32,269.82,0.03,2023,June
ORD00097,2023-11-19,Brandon Gonzalez,West,Gujarat,Furniture,Bookcase,7,4077.15,764.56,0.14,2023,November
ORD00098,2024-04-18,Amanda Davis,North,Punjab,Furniture,Sofa,9,4133.39,207.86,0.26,2024,April
ORD00099,2023-02-22,Kathleen Cooper,South,Kerala,Furniture,Chair,6,3132.04,546.93,0.13,2023,February
ORD00100,2024-10-07,Katherine Miller,South,Tamil Nadu,Technology,Tablet,8,4410.19,754.93,0.01,2024,October
ORD00101,2023-04-27,Mr. Timothy Frazier,South,Tamil Nadu,Office Supplies,Notebook,9,117.69,17.89,0.07,2023,April
ORD00102,2024-04-28,Charles Vasquez,South,Tamil Nadu,Furniture,Chair,5,2568.92,304.05,0.25,2024,April
ORD00103,2023-03-13,Christopher Haynes,South,Tamil Nadu,Technology,Printer,4,4613.25,816.82,0.26,2023,March
ORD00104,2024-08-24,Donna Williams,East,Bihar,Furniture,Bookcase,5,4111.72,496.32,0.09,2024,August
ORD00105,2024-01-22,George Blake,South,Tamil Nadu,Office Supplies,Paper,9,2447.49,325.79,0.23,2024,January
ORD00106,2023-02-14,Mary Petty,South,Kerala,Furniture,Sofa,4,2880.4,312.21,0.23,2023,February
ORD00107,2024-08-27,Cynthia Summers,West,Gujarat,Furniture,Bookcase,3,2501.88,148.25,0.15,2024,August
ORD00108,2024-11-01,Ricardo Bowers,West,Maharashtra,Furniture,Chair,9,4556.69,245.32,0.04,2024,November
ORD00109,2023-12-03,Brandon Mejia,West,Gujarat,Technology,Laptop,6,3135.13,468.3,0.02,2023,December
ORD00110,2024-10-08,Anthony Davis,West,Gujarat,Office Supplies,Marker,8,4368.3,257.62,0.02,2024,October
ORD00111,2023-04-13,Cynthia Douglas,South,Kerala,Office Supplies,Stapler,2,2198.16,164.01,0.19,2023,April
ORD00112,2024-03-17,Sheena Griffin,East,West Bengal,Furniture,Desk,1,1655.65,106.01,0.11,2024,March
ORD00113,2024-09-26,Veronica Lowe,West,Rajasthan,Technology,Smartphone,3,891.42,62.17,0.26,2024,September
ORD00114,2024-11-13,Lindsay Guzman,West,Rajasthan,Office Supplies,Notebook,3,1199.33,251.23,0.14,2024,November
ORD00115,2024-08-24,Hunter Foley,East,Bihar,Technology,Printer,9,831.98,133.48,0.1,2024,August
ORD00116,2023-08-31,Mary Flores,East,Odisha,Furniture,Bookcase,5,1036.12,151.45,0.14,2023,August
ORD00117,2024-11-05,Courtney Gardner,East,Bihar,Furniture,Table,5,4963.83,614.56,0.29,2024,November
ORD00118,2023-10-21,Darryl Greene Jr.,North,Haryana,Furniture,Sofa,1,4557.55,1076.92,0.25,2023,October
ORD00119,2024-11-06,Curtis Conley,East,West Bengal,Technology,Monitor,4,3123.41,685.4,0.22,2024,November
ORD00120,2023-05-15,Jason Graves,North,Haryana,Office Supplies,Notebook,1,1579.22,253.0,0.17,2023,May
ORD00121,2024-01-10,Erica Terry,East,Bihar,Technology,Tablet,7,919.42,76.35,0.16,2024,January
ORD00122,2023-10-30,Michael Waters,East,West Bengal,Office Supplies,Marker,5,4574.54,1308.53,0.29,2023,October
ORD00123,2024-11-21,Natalie Matthews,North,Punjab,Office Supplies,Stapler,2,746.75,217.77,0.26,2024,November
ORD00124,2024-11-19,Mary Smith,East,West Bengal,Furniture,Table,7,118.9,21.89,0.14,2024,November
ORD00125,2024-07-28,Daniel Patel,West,Rajasthan,Office Supplies,Stapler,6,586.31,63.59,0.01,2024,July
ORD00126,2024-10-26,Cody Smith,South,Kerala,Furniture,Table,2,3195.25,530.63,0.21,2024,October
ORD00127,2024-07-04,Cody Hayes,South,Karnataka,Furniture,Chair,1,1556.6,269.53,0.03,2024,July
ORD00128,2024-02-29,Margaret Juarez,West,Gujarat,Technology,Printer,9,2124.68,500.51,0.05,2024,February
ORD00129,2023-08-11,Jerry King,West,Rajasthan,Office Supplies,Pen,7,4698.31,563.49,0.21,2023,August
ORD00130,2024-10-22,Kenneth Morrison,South,Tamil Nadu,Furniture,Bookcase,2,4905.59,695.78,0.27,2024,October
ORD00131,2023-04-04,Amanda Ayala,West,Gujarat,Furniture,Chair,4,4842.62,1391.06,0.25,2023,April
ORD00132,2023-03-12,Kristin Clay,North,Delhi,Office Supplies,Notebook,6,1255.67,102.31,0.17,2023,March
ORD00133,2023-10-11,Lori Sanchez,South,Karnataka,Office Supplies,Notebook,6,3883.12,959.76,0.18,2023,October
ORD00134,2023-09-01,Katherine Andersen,East,West Bengal,Technology,Smartphone,2,3322.24,187.52,0.0,2023,September
ORD00135,2023-03-07,Mike Gibson,North,Delhi,Office Supplies,Stapler,5,309.38,72.84,0.16,2023,March
ORD00136,2023-02-14,Ms. Kimberly Montoya,East,Bihar,Furniture,Bookcase,10,589.82,103.78,0.28,2023,February
ORD00137,2024-12-03,Susan Payne,East,Odisha,Office Supplies,Marker,1,351.09,59.6,0.12,2024,December
ORD00138,2024-10-01,Angela Craig,West,Maharashtra,Technology,Printer,2,1644.45,143.2,0.04,2024,October
ORD00139,2023-04-12,Hunter Leblanc,East,Odisha,Office Supplies,Marker,10,2676.26,437.38,0.18,2023,April
ORD00140,2024-02-13,Robert Ramirez,South,Tamil Nadu,Office Supplies,Pen,8,4446.05,682.26,0.25,2024,February
ORD00141,2024-04-30,George Rosario,East,Odisha,Furniture,Chair,6,3342.28,479.87,0.05,2024,April
ORD00142,2024-07-23,Pamela Reynolds,North,Delhi,Technology,Laptop,7,527.99,123.92,0.24,2024,July
ORD00143,2024-03-09,Justin Hernandez,East,Bihar,Technology,Monitor,2,2083.5,559.22,0.28,2024,March
ORD00144,2024-11-03,Kevin Medina,East,Bihar,Office Supplies,Pen,5,1790.65,348.24,0.06,2024,November
ORD00145,2024-03-15,Mr. Zachary Wiley,North,Punjab,Furniture,Desk,9,1869.43,449.88,0.17,2024,March
ORD00146,2023-12-14,Bernard Myers,North,Haryana,Office Supplies,Marker,5,193.32,22.87,0.23,2023,December
ORD00147,2023-02-01,Glenn Tucker,South,Karnataka,Furniture,Chair,10,3303.86,222.67,0.22,2023,February
ORD00148,2023-11-29,Daniel Hunt,South,Tamil Nadu,Technology,Monitor,7,2295.55,205.11,0.09,2023,November
ORD00149,2023-10-06,Maria Young,North,Delhi,Office Supplies,Marker,3,829.18,169.53,0.2,2023,October
ORD00150,2023-12-20,Thomas Nelson,West,Rajasthan,Furniture,Bookcase,8,2100.21,218.2,0.15,2023,December
ORD00151,2024-02-09,Steve Gomez,East,Bihar,Furniture,Chair,10,2458.83,533.03,0.01,2024,February
ORD00152,2023-10-24,Jennifer Obrien,North,Delhi,Office Supplies,Pen,5,4729.35,1143.73,0.23,2023,October
ORD00153,2024-05-27,Cody Watson,North,Punjab,Furniture,Chair,7,919.69,133.4,0.21,2024,May
ORD00154,2023-11-17,Ronald Morris,North,Punjab,Office Supplies,Stapler,1,2209.29,364.4,0.02,2023,November
ORD00155,2023-06-25,Diane Hughes,West,Rajasthan,Office Supplies,Paper,7,1483.1,224.33,0.29,2023,June
ORD00156,2024-06-20,Samantha Price,East,West Bengal,Office Supplies,Paper,7,4230.2,468.83,0.18,2024,June
ORD00157,2024-10-10,Steven Pollard,East,Bihar,Technology,Printer,6,1146.78,280.71,0.02,2024,October
ORD00158,2023-08-30,Darrell Henson,South,Tamil Nadu,Technology,Monitor,6,3650.53,929.93,0.24,2023,August
ORD00159,2023-07-01,Adam Patterson,East,West Bengal,Technology,Smartphone,3,3031.87,727.81,0.2,2023,July
ORD00160,2024-10-12,Sarah Watson,West,Rajasthan,Office Supplies,Paper,10,2272.08,638.54,0.17,2024,October
ORD00161,2023-10-09,Jessica Edwards,East,West Bengal,Office Supplies,Stapler,8,388.02,62.3,0.09,2023,October
ORD00162,2023-10-21,Nathan Jacobs,East,Bihar,Office Supplies,Pen,2,1586.52,258.57,0.02,2023,October
ORD00163,2024-04-05,Susan Morales,West,Gujarat,Technology,Laptop,10,2793.87,692.75,0.27,2024,April
ORD00164,2023-12-18,Lisa Castaneda MD,East,Bihar,Office Supplies,Notebook,8,2531.77,732.77,0.14,2023,December
ORD00165,2024-09-16,Mr. Timothy Mendoza,South,Karnataka,Office Supplies,Pen,4,3552.73,1057.81,0.16,2024,September
ORD00166,2024-10-08,Amanda Camacho,East,Odisha,Technology,Tablet,7,2073.41,279.06,0.18,2024,October
ORD00167,2024-11-03,Anna Smith,North,Punjab,Office Supplies,Stapler,2,2811.92,412.34,0.08,2024,November
ORD00168,2024-11-02,Colton Scott,East,West Bengal,Office Supplies,Notebook,10,3334.88,931.05,0.09,2024,November
ORD00169,2023-05-11,Jake Mitchell,South,Kerala,Office Supplies,Paper,2,1582.43,228.14,0.24,2023,May
ORD00170,2023-08-08,Stephanie Calderon,North,Haryana,Office Supplies,Marker,7,2567.02,140.05,0.09,2023,August
ORD00171,2024-06-03,Mark Dennis,South,Karnataka,Furniture,Bookcase,3,816.98,101.26,0.24,2024,June
ORD00172,2023-06-07,Taylor Simmons,North,Haryana,Office Supplies,Marker,6,4388.14,897.41,0.18,2023,June
ORD00173,2024-03-30,Eric Hill,South,Kerala,Technology,Smartphone,8,266.28,37.57,0.22,2024,March
ORD00174,2023-07-18,Audrey Jones,West,Maharashtra,Office Supplies,Stapler,9,1233.88,359.55,0.24,2023,July
ORD00175,2023-06-15,Erica Ballard,West,Gujarat,Furniture,Table,5,3901.71,685.63,0.13,2023,June
ORD00176,2023-04-16,Morgan Moore,South,Tamil Nadu,Technology,Monitor,1,3223.84,865.7,0.17,2023,April
ORD00177,2023-05-31,Jose Day,North,Punjab,Office Supplies,Marker,2,3827.43,452.39,0.27,2023,May
ORD00178,2024-01-18,Lee Morris,South,Tamil Nadu,Furniture,Chair,6,4655.84,715.72,0.12,2024,January
ORD00179,2024-10-27,Elizabeth Duncan,North,Punjab,Technology,Printer,4,189.53,53.58,0.25,2024,October
ORD00180,2024-12-23,Jonathan Fields,South,Karnataka,Furniture,Desk,5,4591.11,771.83,0.25,2024,December
ORD00181,2024-09-15,George Carr,North,Delhi,Furniture,Bookcase,1,1316.82,340.72,0.16,2024,September
ORD00182,2024-09-29,Charles Garcia,North,Punjab,Office Supplies,Paper,4,1540.7,95.43,0.13,2024,September
ORD00183,2023-05-28,Zachary Atkinson,North,Punjab,Furniture,Chair,10,2703.47,562.29,0.17,2023,May
ORD00184,2023-03-29,Olivia Fisher,North,Haryana,Furniture,Bookcase,6,1240.79,191.26,0.2,2023,March
ORD00185,2024-02-04,Hannah Moore,North,Haryana,Office Supplies,Stapler,9,2561.27,760.91,0.17,2024,February
ORD00186,2023-09-04,David Steele,West,Gujarat,Furniture,Chair,5,3749.22,522.17,0.02,2023,September
ORD00187,2024-12-02,Brandon Carr,East,West Bengal,Office Supplies,Pen,1,1793.88,241.52,0.19,2024,December
ORD00188,2023-07-26,Lisa Brewer,South,Karnataka,Furniture,Bookcase,2,3594.42,1027.65,0.01,2023,July
ORD00189,2023-09-17,Sheila Lopez,North,Punjab,Technology,Smartphone,5,2601.15,773.27,0.16,2023,September
ORD00190,2024-01-12,Jimmy Martinez,East,Odisha,Technology,Smartphone,1,4335.7,576.57,0.04,2024,January
ORD00191,2024-06-15,Carl Salazar DDS,West,Gujarat,Furniture,Bookcase,6,4869.93,847.62,0.15,2024,June
ORD00192,2023-11-25,Kelsey Matthews,West,Maharashtra,Furniture,Chair,7,3032.14,774.97,0.16,2023,November
ORD00193,2024-12-07,Jesse Delacruz,East,Bihar,Technology,Laptop,5,1567.15,314.46,0.13,2024,December
ORD00194,2023-02-28,Hannah Ellis,West,Maharashtra,Furniture,Sofa,6,3093.51,491.05,0.19,2023,February
ORD00195,2024-03-24,Sarah Davis,East,Bihar,Technology,Printer,3,4766.31,408.45,0.18,2024,March
ORD00196,2023-06-07,Travis Brown,North,Delhi,Technology,Smartphone,6,1842.65,529.52,0.01,2023,June
ORD00197,2024-02-12,Megan Martin,East,Odisha,Office Supplies,Paper,8,3827.27,740.5,0.16,2024,February
ORD00198,2024-07-29,Andrew Parsons,South,Karnataka,Furniture,Sofa,1,3691.59,645.15,0.12,2024,July
ORD00199,2024-05-17,Isaac White,East,Bihar,Technology,Tablet,8,1112.12,225.73,0.21,2024,May
ORD00200,2024-11-29,Amanda Fowler,South,Karnataka,Technology,Laptop,8,904.65,206.57,0.3,2024,November
ORD00201,2024-12-27,Randall Ferguson,North,Haryana,Furniture,Sofa,9,1487.29,185.9,0.05,2024,December
ORD00202,2024-05-20,Teresa Howard,East,Bihar,Office Supplies,Notebook,4,650.74,65.23,0.04,2024,May
ORD00203,2024-02-12,Heather Cook,East,Odisha,Technology,Tablet,9,692.37,187.67,0.02,2024,February
ORD00204,2024-04-05,Michael Douglas,West,Gujarat,Office Supplies,Paper,10,415.07,121.65,0.19,2024,April
ORD00205,2024-03-19,Alyssa Smith,East,West Bengal,Furniture,Table,9,3216.98,307.19,0.29,2024,March
ORD00206,2023-08-19,Sheryl Castillo,North,Haryana,Office Supplies,Pen,3,1555.42,140.75,0.28,2023,August
ORD00207,2024-10-02,Mike Price,East,West Bengal,Furniture,Table,5,1021.69,295.36,0.08,2024,October
ORD00208,2024-10-01,Dr. Dan Jackson MD,North,Haryana,Furniture,Table,3,2979.45,581.47,0.05,2024,October
ORD00209,2024-10-18,Sharon Stokes,East,Bihar,Office Supplies,Marker,1,4134.92,236.08,0.01,2024,October
ORD00210,2024-07-12,Vincent Rodriguez,South,Kerala,Office Supplies,Stapler,7,3109.64,179.03,0.27,2024,July
ORD00211,2024-03-26,Ethan Wagner,West,Maharashtra,Furniture,Sofa,7,1522.3,103.89,0.02,2024,March
ORD00212,2023-12-20,Jeremy Shaw,West,Maharashtra,Furniture,Bookcase,6,3052.97,391.22,0.22,2023,December
ORD00213,2024-04-05,Francisco Adkins,East,Bihar,Furniture,Desk,9,575.61,63.57,0.04,2024,April
ORD00214,2023-06-13,Angela Reyes,North,Delhi,Technology,Smartphone,5,4729.66,1258.28,0.13,2023,June
ORD00215,2023-11-12,James Herrera,East,West Bengal,Furniture,Table,3,2516.41,449.64,0.15,2023,November
ORD00216,2023-02-19,Robert Giles,North,Punjab,Furniture,Chair,9,2313.29,254.88,0.18,2023,February
ORD00217,2023-05-18,Heather Scott,West,Rajasthan,Technology,Tablet,8,1464.45,76.22,0.03,2023,May
ORD00218,2024-07-20,Christopher Wagner,West,Gujarat,Furniture,Sofa,1,2032.88,391.47,0.06,2024,July
ORD00219,2024-11-27,Sheila Bailey,West,Rajasthan,Furniture,Chair,8,3833.8,459.79,0.3,2024,November
ORD00220,2024-01-10,Christopher Shaw,South,Karnataka,Office Supplies,Pen,7,1897.33,562.93,0.17,2024,January
ORD00221,2024-04-30,Pam Montes,West,Rajasthan,Technology,Smartphone,1,274.25,23.11,0.1,2024,April
ORD00222,2024-02-07,Justin Ortiz,South,Kerala,Office Supplies,Paper,9,741.92,209.85,0.1,2024,February
ORD00223,2023-01-18,Angela Cox,East,Bihar,Office Supplies,Stapler,9,2685.08,610.01,0.09,2023,January
ORD00224,2024-10-06,Anita Robinson,North,Punjab,Furniture,Sofa,10,1573.01,432.09,0.26,2024,October
ORD00225,2023-06-24,Zachary Jackson,West,Gujarat,Technology,Monitor,10,2909.29,670.16,0.18,2023,June
ORD00226,2023-01-20,Christopher Rivera,West,Maharashtra,Office Supplies,Marker,4,206.27,59.21,0.03,2023,January
ORD00227,2024-04-27,Curtis Burke,West,Maharashtra,Furniture,Sofa,7,3467.98,529.19,0.23,2024,April
ORD00228,2024-01-21,Anthony Richards,South,Kerala,Office Supplies,Pen,4,2826.39,846.59,0.14,2024,January
ORD00229,2024-11-28,Allen Robertson,West,Rajasthan,Furniture,Desk,6,2754.05,603.05,0.26,2024,November
ORD00230,2023-11-01,Matthew Wilson,West,Maharashtra,Office Supplies,Stapler,4,1431.08,178.35,0.28,2023,November
ORD00231,2023-10-08,Deborah Lopez,West,Gujarat,Furniture,Desk,8,1776.58,503.53,0.24,2023,October
ORD00232,2023-10-22,Mitchell Richardson,West,Gujarat,Furniture,Chair,6,4775.31,1199.34,0.09,2023,October
ORD00233,2023-10-05,Michael Carpenter,East,Odisha,Office Supplies,Pen,5,3749.33,388.04,0.25,2023,October
ORD00234,2024-06-27,Audrey Ellis,South,Karnataka,Office Supplies,Stapler,10,3717.41,408.25,0.02,2024,June
